institution_id,institution_name,total_courses,total_reviews,average_rating
141,"Institut Mines-Télécom, École Polytechnique",3,138,4.5
142,Institute for the Future,15,20001,4.8
143,Instituto Tecnológico de Aeronáutica,42,15057,4.8
144,Intel,18,1593,4.5
145,Interactive Brokers,12,2367,4.4
146,Intuit,15,33252,4.6
147,JetBrains,9,18063,4.7
148,Johns Hopkins University,816,2249955,4.7
149,Juniper Networks,18,207,4.5
150,Karlsruhe Institute of Technology,6,834,4.5
151,Keller Williams,12,24,5.0
152,King Abdullah University of Science and Technology,9,144,4.6
153,Knowledge Accelerators,9,6156,4.7
154,Korea Advanced Institute of Science and Technology(KAIST),117,31383,4.7
155,Koç University,21,1518,4.7
156,L&T EduTech,51,1479,4.7
157,Laureate Education,6,1701,4.8
158,LearnQuest,159,89442,4.5
159,London Business School,9,54,4.9
160,Ludwig-Maximilians-Universität München (LMU),33,22623,4.8
161,Lund University,105,42660,4.7
162,"Lund University, EIT RawMaterials, VITO, Geological Survey of Denmark and Greenland, National Technical University of Athens, Ghent University, Delft University of Technology",9,16326,4.8
163,"Lund University, WWF",3,0,
164,Macquarie University,150,647601,4.9
165,"Macquarie University, IBM",9,3528,4.7
166,MathWorks,51,7842,4.8
167,McMaster University,21,122871,4.8
168,Measure What Matters,9,3384,4.9
169,MedCerts,57,2946,4.8
170,Meta,288,460092,4.7
171,Michigan State University,102,73677,4.7
172,"Michigan State University, Oncofertility Consortium",3,90,4.6
173,Microsoft,237,113151,4.6
174,MongoDB Inc.,9,342,4.6
175,Morehouse College,3,42,4.9
176,NIIT,3,135,3.2
177,NVIDIA,9,246,4.6
178,Nanjing University,39,9723,4.4
179,"Nanyang Technological University, Singapore",24,15477,4.9
180,National Academy of Sports Medicine,39,1035,4.6
181,National Taiwan University,198,41316,4.8
182,National University of Singapore,30,7689,4.6
183,"New Teacher Center, Silicon Schools Fund, Clayton Christensen Institute, Relay Graduate School of Education",3,723,4.7
184,New York Institute of Finance,27,7815,4.6
185,"New York Institute of Finance, Google Cloud",6,2028,3.9
186,New York University,54,51777,4.5
187,Northeastern University ,105,3537,4.6
188,Northwestern University,117,121293,4.7
189,Novartis,15,246,4.7
190,O.P. Jindal Global University,27,666,4.6
191,Oracle,15,732,4.7
192,Osmosis,3,21066,4.8
193,Palo Alto Networks,15,2718,4.6
194,"Parsons School of Design, The New School",78,5907,4.7
195,Peking University,114,77670,4.8
196,PepsiCo,12,0,
197,Pohang University of Science and Technology(POSTECH),21,19287,4.6
198,Politecnico di Milano,93,14523,4.7
199,Pontificia Universidad Católica de Chile,156,148614,4.7
200,"Pontificia Universidad Católica de Chile, Universidad de los Andes, Tecnológico de Monterrey",3,528,4.8
201,Pontificia Universidad Católica del Perú,27,99,4.8
202,Princeton University,36,29094,4.7
203,PwC,36,209382,4.7
204,PwC India,3,177,4.6
205,Qualcomm Academy,12,4116,4.8
206,Queen Mary University of London,57,2319,4.5
207,ROI Training,3,129,4.7
208,Radio y Televisión Española,3,135,4.9
209,Red Hat,21,6084,4.8
210,Relay Graduate School of Education,6,4587,4.8
211,Rice University,297,299457,4.7
212,Rutgers the State University of New Jersey,99,192825,4.8
213,SAE Institute México,24,0,
214,SAP,27,6798,4.7
215,SAS,78,62175,4.8
216,"Salesforce, Pathstream",15,8130,4.6
217,"Salesforce, SV Academy",24,7062,4.5
218,Sapienza University of Rome,24,5142,4.5
219,Sciences Po,48,16518,4.7
220,Scrimba,30,909,4.7
221,Shanghai Jiao Tong University,27,1746,4.1
222,"Shanghai Jiao Tong University, 上海中医药大学",3,378,4.6
223,"Shanghai Jiao Tong University, 云林科技大学 (Yunlin University of Science and Technology)",3,234,4.6
224,Siemens,45,1158,4.6
225,SkillUp EdTech,42,1023,4.7
226,SoFi,21,1785,4.6
227,Splunk Inc.,21,2184,4.7
228,Stanford University,270,654747,4.8
229,"Stanford University, DeepLearning.AI",9,178272,4.9
230,"Stanford University, The University of British Columbia",18,57798,4.6
231,Starweaver,72,801,4.5
232,Sungkyunkwan University,12,654,4.7
233,Tableau Learning Partner,24,2499,4.7
234,Talend,3,171,4.7
235,Tally Education,6,519,4.6
236,Tally Education and Distribution Services Private Limited,3,294,4.6
237,Technical University of Denmark (DTU),39,63795,4.7
238,"Technical University of Denmark (DTU), Copenhagen Business School",6,1218,4.6
239,Technical University of Munich (TUM),45,5367,4.6
