topic_id,keywords,topic_name
0,"0.022*""certif"" + 0.016*""time"" + 0.013*""complet"" + 0.012*""coursera"" + 0.012*""wast"" + 0.012*""money"" + 0.012*""data"" + 0.011*""basic"" + 0.011*""scienc"" + 0.008*""free""",Calidad del Contenido y Enseñanza
1,"0.016*""assign"" + 0.015*""video"" + 0.015*""learn"" + 0.010*""lectur"" + 0.010*""time"" + 0.009*""like"" + 0.009*""quiz"" + 0.009*""materi"" + 0.009*""content"" + 0.008*""week""",Estructura y Logística del Curso
2,"0.025*""curs"" + 0.012*""par"" + 0.009*""unenrol"" + 0.008*""per"" + 0.007*""esta"" + 0.006*""explic"" + 0.006*""com"" + 0.005*""hac"" + 0.005*""vide"" + 0.005*""much""","Evaluación y Carga de Trabajo (Tareas, Calificaciones)"
