reviews,reviewers,date_reviews,rating,course_id
We tried to use this class to teach a brown bag lunch for our employees interested in programming.  Python is a great language but this class has a very low content to volume ratio (nobody wants to watch the instructor meet his life-time idol at a trade-show or watch the Intel versus AMD melt-down commercials over their lunch break).,By Steve M,"Oct 20, 2015",1,python
"I am very disappointed with this programming course. The course lacks detail and deepth and could be taught in 45 to 60 minutes instead of 7 weeks. The quizzes and assignments were to easy and basic (solved in less than 5 minutes) and definitely not enough. Annoying was the overuse of colours in almost every video (almost everything was coloured - highlighting everything is just as usefull as highlighting nothing, green box with white text inside - did you try to read that on a different monitor than yours?), the pointless and useless doodles, smilies and whatsoever, wasting my time by watching you dispose your teabag/drinking tea or coffee/talking about your mug/etc., why do you even need to drink in a 20 minute-or-less video. The Tutor tried to loosen a dry topic. Mostly it wasn't my humor but I can live with that. I had hoped for more :(",By Lorenz W,"Oct 08, 2015",1,python
This course has been dumbed down so much that no moderately intelligent person should be subjected to it.  Coursera really needs to rethink its approach to teaching.  I can only express my sympathy for those were seduced into actually paying for this course.,By Stephen Z,"Dec 20, 2015",1,python
"Only for those who are new to everything involving computers. If you know how to turn your own computer off and on, look for a more advanced course than this.",By Angela P,"Dec 29, 2015",1,python
"This is not a start, at the end of the course, you still can't use python. And even the tools don't work properly. ",By Hendrik H,"Sep 26, 2015",1,python
Way to easy,By Mateusz,"Nov 10, 2015",1,python
pretty dumb,By Vivek T,"Oct 06, 2015",1,python
too slow,By refael l,"Nov 09, 2015",1,python
"Sorry, the professor has a genial & cheerful personality, but the program material is just too basic, and it takes forever to wade through it all. I will enrol in more advanced courses. My mistake, not yours, thanks for the opportunity.",By Luca C,"Sep 29, 2015",2,python
It was too easy and very basic. Not challenging enough. but maybe I wasn't the right student for the class. The lectures are too slow and repetitive too.,By Mâna A,"Dec 06, 2015",2,python
I knew R and was looking for an intro to Python. If you already know some programming this class is too basic.,By Alexander H,"Oct 02, 2015",2,python
"Too easy, even though I understand it's the first course of the series. But, great professor!",By Ioannis S,"Dec 15, 2015",2,python
this course is suitable for beginning ,By Maruli T S,"Oct 10, 2015",2,python
